SNAPSHOT_ID,SOURCE_ENTITY_CODE,CANONICAL_ISO2,CANONICAL_ISO3,COUNTRY_NAME,CODE_SYSTEM,ENTITY_TYPE,IS_AGGREGATE,IDENTITY_MAPPING_STATUS,INDICATOR_CODE,INDICATOR_NAME,INDICATOR_UNIT,SOURCE_ID,SOURCE_NAME,OBSERVATION_YEAR,INDICATOR_VALUE,SOURCE_LAST_UPDATED,OBSERVATION_STATUS,SOURCE_DECIMAL_PRECISION,RAW_VALUE_TEXT,RETRIEVED_AT
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2021,61.328690799,2026-07-13,\N,0,61.3286907992579,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2019,557.861533207,2026-07-13,\N,1,557.861533207459,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2020,527.834554499,2026-07-13,\N,1,527.834554499306,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2021,408.625855217,2026-07-13,\N,1,408.625855217403,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2019,383.164895906,2026-07-13,\N,2,383.16489590585,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2020,401.163332646,2026-07-13,\N,2,401.16333264641,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2021,461.176859296,2026-07-13,\N,2,461.176859296471,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2019,2.376153383,2026-07-13,\N,0,2.37615338349114,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2020,2.370733824,2026-07-13,\N,0,2.37073382439812,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2021,2.352549519,2026-07-13,\N,0,2.35254951873996,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2019,37856121,2026-07-13,\N,0,37856121,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2020,39068979,2026-07-13,\N,0,39068979,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AFG,AF,AFG,Afghanistan,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2021,40000412,2026-07-13,\N,0,40000412,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2019,25.969063929,2026-07-13,\N,0,25.969063928772,2026-07-29T18:04:35Z
